timestamp,dpid,in_port,eth_src,dst_port,pkt_rate,byte_rate,inference_time_ms,mitigation_latency_ms,cpu_percent,predicted_label,action_taken,scenario
1787352038.5305998,2,3,00:00:00:00:00:01,0,74167.73,4005057.33,4.658,0.0,0.0,Normal,ALLOW,ddos
1787352039.516251,2,1,00:00:00:00:00:03,0,71263.0,3848202.0,4.586,0.0,0.0,Normal,ALLOW,ddos
1787352039.5220826,2,2,00:00:00:00:00:04,0,73989.0,3995406.0,4.356,0.0,0.0,Normal,ALLOW,ddos
1787352039.5278742,2,3,00:00:00:00:00:01,0,72420.0,3910680.0,4.383,0.0,0.0,Normal,ALLOW,ddos
1787352040.4539783,1,3,00:00:00:00:00:03,0,69592.0,3757968.0,4.34,0.0,100.3,Normal,ALLOW,ddos
1787352040.4596705,1,2,00:00:00:00:00:02,0,376.35,-109849.77,4.222,0.0,100.3,Normal,ALLOW,ddos
1787352040.514974,2,1,00:00:00:00:00:03,0,74264.0,4010256.0,4.716,0.0,82.5,Normal,ALLOW,ddos
1787352040.5208988,2,2,00:00:00:00:00:04,0,77096.0,4163184.0,4.418,0.0,82.5,Normal,ALLOW,ddos
1787352040.5266414,2,3,00:00:00:00:00:01,0,75472.0,4075488.0,4.319,0.0,82.5,Normal,ALLOW,ddos
1787352040.911568,1,1,00:00:00:00:00:01,0,3911.0,211194.0,4.047,0.0,100.5,Normal,ALLOW,ddos
1787352040.9168546,1,3,00:00:00:00:00:03,0,75390.0,4071060.0,3.95,0.0,100.5,Normal,ALLOW,ddos
1787352040.92222,1,2,00:00:00:00:00:02,0,75995.0,4103730.0,4.017,0.0,100.5,Normal,ALLOW,ddos
1787352041.3984206,1,3,00:00:00:00:00:03,0,69705.0,3764070.0,4.749,0.0,100.8,Normal,ALLOW,ddos
1787352041.4042368,1,2,00:00:00:00:00:02,0,79567.0,4296618.0,4.342,0.0,100.8,Normal,ALLOW,ddos
1787352041.410023,1,1,00:00:00:00:00:01,0,69910.0,3775140.0,4.326,0.0,100.8,Normal,ALLOW,ddos
1787352041.4157722,1,1,00:00:00:00:00:01,0,244.57,13186.99,4.329,0.0,100.8,Normal,ALLOW,ddos
1787352041.5177364,2,1,00:00:00:00:00:03,0,73722.67,3981024.44,4.426,0.0,100.3,Normal,ALLOW,ddos
1787352041.5236516,2,2,00:00:00:00:00:04,0,75024.62,4051329.74,4.407,0.0,100.3,Normal,ALLOW,ddos
1787352041.5300488,2,3,00:00:00:00:00:01,0,74193.21,4006433.4,4.61,0.0,100.3,Normal,ALLOW,ddos
1787352041.865758,1,3,00:00:00:00:00:03,0,69526.0,3754404.0,4.858,0.0,100.7,Normal,ALLOW,ddos
1787352041.871799,1,2,00:00:00:00:00:02,0,85611.0,4622994.0,4.529,0.0,100.7,Normal,ALLOW,ddos
1787352041.8776672,1,1,00:00:00:00:00:01,0,69527.0,3754458.0,4.405,0.0,100.7,Normal,ALLOW,ddos
1787352041.8836057,1,1,00:00:00:00:00:01,0,85611.0,4622994.0,4.511,0.0,100.7,Normal,ALLOW,ddos
1787352042.5193124,2,1,00:00:00:00:00:03,0,69716.26,3764678.02,4.673,0.0,99.4,Normal,ALLOW,ddos
1787352042.5252106,2,2,00:00:00:00:00:04,0,73525.36,3970369.25,4.412,0.0,99.4,Normal,ALLOW,ddos
1787352042.531111,2,3,00:00:00:00:00:01,0,69715.26,3764624.09,4.41,0.0,99.4,Normal,ALLOW,ddos
1787352042.5478134,1,3,00:00:00:00:00:03,0,70914.0,3829356.0,4.817,0.0,123.2,Normal,ALLOW,ddos
1787352042.554008,1,2,00:00:00:00:00:02,0,83620.0,4515480.0,4.589,0.0,123.2,Normal,ALLOW,ddos
1787352042.560014,1,1,00:00:00:00:00:01,0,70913.0,3829302.0,4.468,0.0,123.2,Normal,ALLOW,ddos
1787352042.565959,1,1,00:00:00:00:00:01,0,83620.0,4515480.0,4.458,0.0,123.2,Normal,ALLOW,ddos
